Words;Frequencies;Ranks;Logarithm of Frequencies;Logarithm of ranks
весной;1;584;0.0;2.766412847112399
почки;1;585;0.0;2.7671558660821804
рано;1;586;0.0;2.7678976160180904
трогаются;1;587;0.0;2.7686381012476144
наречию;1;588;0.0;2.769377326076138
инфинитив;1;589;0.0;2.7701152947871015
трава;1;590;0.0;2.770852011642144
выросла;1;591;0.0;2.771587480881255
окружала;1;592;0.0;2.7723217067229196
каменная;1;593;0.0;2.7730546933642626
ограда;1;594;0.0;2.7737864449811935
предположение;1;595;0.0;2.7745169657285493
укладывается;1;596;0.0;2.775246259740236
длина;1;597;0.0;2.775974331129369
волны;1;598;0.0;2.7767011839884104
лично;1;599;0.0;2.777426822389311
стараюсь;1;600;0.0;2.7781512503836434
придумывать;1;601;0.0;2.778874472002739
дочь;1;602;0.0;2.7795964912578244
духа;1;603;0.0;2.780317312140151
