Index,Year,Name,Manual_KW,Manual_Count,YAKE_KW,YAKE_Count,Intersection,Intersection_Count,Ratio_Manual,Ratio_YAKE,Status
227,2017,Smirnova,"лексическая база данных, тибетский
корпус, тибетские композиты-существительные, тибетская
языковая картина мира",4,,0,,0,0.0,0.0,Manual Only
228,2017,Smirnova,,0,"базе данных, лексической базе, данных, тибетском языке, лексической, базе, Например, языке, композитов, тибетском",10,,0,0.0,0.0,YAKE Only
229,2017,Sokolova,"automatic extraction of key words and phrases, KEA,
Russian text corpora",3,,0,,0,0.0,0.0,Manual Only
230,2017,Sokolova,"автоматическое выделение ключевых
слов и словосочетаний, RAKE, русскоязычные корпусы
текстов.",3,,0,,0,0.0,0.0,Manual Only
231,2017,Sokolova,,0,"ключевых слов, слов, KEA, слова, Ключевые слова, словосочетания, ключевых, работы, алгоритма KEA, работы KEA",10,,0,0.0,0.0,YAKE Only
232,2017,Temirova,"corpus linguistics, corpus, language family.",3,,0,,0,0.0,0.0,Manual Only
233,2017,Temirova,"корпусная лингвистика, корпус, языковая семья.",3,,0,,0,0.0,0.0,Manual Only
234,2017,Temirova,,0,"МГУ имени, АБУСУПЬЯНА АКАЕВА, языковая семья, КОРПУС, ИМЕНИ АБУСУПЬЯНА, КОРПУС ИМЕНИ, ПОЛИЛИНГВАЛЬНЫЙ КОРПУС, НАЦИОНАЛЬНЫЙ ПОЛИЛИНГВАЛЬНЫЙ, Москва Несмотря, корпуса",10,,0,0.0,0.0,YAKE Only
235,2017,Zaides,"corpus linguistics, oral speech, meta-communication, metacommunicative units, monologues",5,,0,,0,0.0,0.0,Manual Only
236,2017,Zaides,"корпусная лингвистика; устная речь;
метакоммуникация;
метакоммуникативные
единицы;
монологическая речь.",1,,0,,0,0.0,0.0,Manual Only
237,2017,Zaides,,0,"низкий УРК, УРК, высокий УРК, средний УРК, низкий, пересказ несюж., Метакоммуникативная вставка, пересказ сюж., экстр., пересказ",10,,0,0.0,0.0,YAKE Only
238,2017,Zakharov,"prepositions, the Russian language, semantics, syntactic
structures, context, lexical and syntactic markers.",6,,0,,0,0.0,0.0,Manual Only
239,2017,Zakharov,"предлоги, русский язык, семантика,
синтаксические
отношения,
контекст,
лексикосемантические маркеры.",6,,0,,0,0.0,0.0,Manual Only
240,2017,Zakharov,,0,"предлогов, русского языка, значения, значения предлогов, первообразных предлогов, текста, языка, семантики предлогов, значения предлога, семантических",10,,0,0.0,0.0,YAKE Only
241,2018,Azarova,"corpus lexical statistics, semantic domain, Russian prepositional constructions,
transitive prepositional constructions, temporal constructions, mediative constructions",6,,0,,0,0.0,0.0,Manual Only
242,2018,Azarova,"Russian prepositions ‧ Prepositional constructions ‧ Preosition
meaning ‧ Transitive constructions‧ Temporal constructions ‧ Mediative constructions",1,,0,,0,0.0,0.0,Manual Only
243,2018,Azarova,,0,"предложных конструкций, предлогов, сквозь, ipm, конструкций, предложных, Предлог, производных предлогов, Производный предлог, предлога",10,,0,0.0,0.0,YAKE Only
244,2018,Belov,"Legal Corpora, Official Texts, Corpus of Russian Internal Documents, Socially
Important Domains",4,,0,,0,0.0,0.0,Manual Only
245,2018,Belov,"корпус русских локальных документов, официально-деловые
тексты, типы текстов, социально-значимые домены (здравоохранение,
образование, культура)",6,,0,,0,0.0,0.0,Manual Only
246,2018,Belov,,0,"текстов, русского языка, документов, Корпус, документы, правила, локальных документов, языка, правила поведения, например",10,,0,0.0,0.0,YAKE Only
247,2018,Boikov,"automated rhyme search, information-analytical system, phonetic word model,
verse mark up, specification of verse text, thesaurus of poetics, accuracy and richness of rhyme,
formal language of verse description",8,,0,,0,0.0,0.0,Manual Only
248,2018,Boikov,"автоматический поиск рифмы, информационно-аналитическая
система, модель фонетического слова, разметка стиха, созвучие, спецификация
стихового текста, тезаурус по поэтологии, точность и богатство рифмы, формальный
язык стиха.",9,,0,,0,0.0,0.0,Manual Only
249,2018,Boikov,,0,"стихового текста, рифмующихся слов, согласных, рифмы, рифма, слов, текста, кортежей согласных, гласных, стихового",10,,0,0.0,0.0,YAKE Only
250,2018,Chekmeneva,"corpus linguistics, frequency of lexical units, Russian National Corpus, colors,
Berlin and Kay theory, basic color terms, synesthetic metaphors",7,,0,,0,0.0,0.0,Manual Only
251,2018,Chekmeneva,"корпусы текстов, частотность лексических единиц, поэтический
корпус НКРЯ, прилагательные обозначающие цвета, теория базовых обозначений
цвета Берлина и Кэя, синестетическая метафора",6,,0,,0,0.0,0.0,Manual Only
252,2018,Chekmeneva,,0,"цвет, сочетания, цвета, красный, метафоры, частотными оказались, белый, синий, фиолетовый, слово",10,,0,0.0,0.0,YAKE Only
253,2018,Karyaeva,"thesaurus, semantic relations, data mining, knowledge acquisition, domain
engineering, machine learning, word2vec",7,,0,,0,0.0,0.0,Manual Only
254,2018,Karyaeva,"тезаурус, семантические отношения, data mining, knowledge
acquisition, domain engineering, machine learning, word2vec",7,,0,,0,0.0,0.0,Manual Only
255,2018,Karyaeva,,0,"Википедии, отношений, отношения, извлечения, Отношение, предметной области, терминов, извлечения отношений, отношения меронимии, русской Википедии",10,,0,0.0,0.0,YAKE Only
